X,Power Density,
mm,W/cm^2,
-0.4136,0.040048,
-0.4092,0.044759,
-0.4048,0.03887,
-0.4004,0.049471,
-0.396,0.025913,
-0.3916,0.032981,
-0.3872,0.043582,
-0.3828,0.042404,
-0.3784,0.042404,
-0.374,0.042404,
-0.3696,0.035336,
-0.3652,0.035336,
-0.3608,0.043582,
-0.3564,0.041226,
-0.352,0.031803,
-0.3476,0.047115,
-0.3432,0.053005,
-0.3388,0.054183,
-0.3344,0.049471,
-0.33,0.050649,
-0.3256,0.047115,
-0.3212,0.049471,
-0.3168,0.05536,
-0.3124,0.053005,
-0.308,0.056538,
-0.3036,0.057716,
-0.2992,0.05536,
-0.2948,0.045937,
-0.2904,0.051827,
-0.286,0.057716,
-0.2816,0.05536,
-0.2772,0.060072,
-0.2728,0.060072,
-0.2684,0.060072,
-0.264,0.056538,
-0.2596,0.040048,
-0.2552,0.049471,
-0.2508,0.05536,
-0.2464,0.050649,
-0.242,0.058894,
-0.2376,0.071851,
-0.2332,0.076562,
-0.2288,0.053005,
-0.2244,0.062428,
-0.22,0.051827,
-0.2156,0.051827,
-0.2112,0.044759,
-0.2068,0.051827,
-0.2024,0.050649,
-0.198,0.06125,
-0.1936,0.076562,
-0.1892,0.084807,
-0.1848,0.068317,
-0.1804,0.078918,
-0.176,0.060072,
-0.1716,0.067139,
-0.1672,0.047115,
-0.1628,0.057716,
-0.1584,0.058894,
-0.154,0.057716,
-0.1496,0.073029,
-0.1452,0.10483,
-0.1408,0.10601,
-0.1364,0.1437,
-0.132,0.11072,
-0.1276,0.12486,
-0.1232,0.098942,
-0.1188,0.097764,
-0.1144,0.069495,
-0.11,0.091875,
-0.1056,0.1331,
-0.1012,0.23204,
-0.0968,0.31332,
-0.0924,0.39106,
-0.088,0.47586,
-0.0836,0.51709,
-0.0792,0.5218,
-0.0748,0.45937,
-0.0704,0.37574,
-0.066,0.43228,
-0.0616,0.53829,
-0.0572,0.82216,
-0.0528,1.4205,
-0.0484,2.0719,
-0.044,2.9094,
-0.0396,3.8293,
-0.0352,4.4017,
-0.0308,4.801,
-0.0264,4.801,
-0.022,4.801,
-0.0176,4.4795,
-0.0132,3.5548,
-0.0088001,2.7009,
-0.0044001,1.768,
-6.6399e-08,1.046,
0.0043999,0.69731,
0.0087999,0.8363,
0.0132,1.4182,
0.0176,2.3134,
0.022,3.1815,
0.0264,4.145,
0.0308,4.5431,
0.0352,4.801,
0.0396,4.801,
0.044,4.4807,
0.0484,3.847,
0.0528,3.3122,
0.0572,2.4889,
0.0616,1.6879,
0.066,1.2085,
0.0704,0.73382,
0.0748,0.46644,
0.0792,0.24735,
0.0836,0.19906,
0.088,0.14017,
0.0924,0.13074,
0.0968,0.10012,
0.1012,0.085985,
0.1056,0.10248,
0.11,0.07774,
0.1144,0.10012,
0.1188,0.15901,
0.1232,0.17079,
0.1276,0.1543,
0.132,0.17315,
0.1364,0.18375,
0.1408,0.16608,
0.1452,0.13428,
0.1496,0.10012,
0.154,0.098942,
0.1584,0.10601,
0.1628,0.1013,
0.1672,0.10719,
0.1716,0.11543,
0.176,0.14606,
0.1804,0.12603,
0.1848,0.11308,
0.1892,0.10954,
0.1936,0.089519,
0.198,0.068317,
0.2024,0.080096,
0.2068,0.064783,
0.2112,0.067139,
0.2156,0.067139,
0.22,0.064783,
0.2244,0.069495,
0.2288,0.056538,
0.2332,0.069495,
0.2376,0.05536,
0.242,0.068317,
0.2464,0.065961,
0.2508,0.050649,
0.2552,0.047115,
0.2596,0.041226,
0.264,0.040048,
0.2684,0.044759,
0.2728,0.048293,
0.2772,0.05536,
0.2816,0.056538,
0.286,0.063606,
0.2904,0.042404,
0.2948,0.050649,
0.2992,0.048293,
0.3036,0.06125,
0.308,0.044759,
0.3124,0.035336,
0.3168,0.035336,
0.3212,0.049471,
0.3256,0.048293,
0.33,0.050649,
0.3344,0.051827,
0.3388,0.050649,
0.3432,0.040048,
0.3476,0.045937,
0.352,0.034159,
0.3564,0.051827,
0.3608,0.042404,
0.3652,0.03887,
0.3696,0.051827,
0.374,0.047115,
0.3784,0.043582,
0.3828,0.049471,
0.3872,0.036514,
0.3916,0.044759,
0.396,0.045937,
0.4004,0.040048,
0.4048,0.040048,
0.4092,0.030625,
0.4136,0.040048,
0.418,0.050649,
0.4224,0.03887,
0.4268,0.042404,
